Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
2018-08-17 21:26:51+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0576,2018-08-17 21:26:51+00:00
2018-08-17 18:48:19+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.158,2018-08-17 18:48:19+00:00
2018-08-17 18:48:19+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.058,2018-08-17 18:48:19+00:00
2018-08-17 16:17:57+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1591,2018-08-17 16:17:57+00:00
2018-08-17 16:17:57+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0591,2018-08-17 16:17:57+00:00
2018-08-17 00:58:44+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.159,2018-08-17 00:58:44+00:00
2018-08-17 00:58:44+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.059,2018-08-17 00:58:44+00:00
2018-08-16 21:26:24+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1581,2018-08-16 21:26:24+00:00
2018-08-16 21:26:24+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1589,2018-08-16 21:26:24+00:00
2018-08-16 21:26:24+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1576,2018-08-16 21:26:24+00:00
2018-08-16 21:26:24+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0581,2018-08-16 21:26:24+00:00
2018-08-16 21:26:24+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0589,2018-08-16 21:26:24+00:00
2018-08-16 21:26:24+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0576,2018-08-16 21:26:24+00:00
2018-08-16 21:26:23+00:00,us-west-2c,c3.xlarge,Windows,0.2228,2018-08-16 21:26:23+00:00
2018-08-16 21:26:23+00:00,us-west-2a,c3.xlarge,Windows,0.2228,2018-08-16 21:26:23+00:00
2018-08-16 21:26:23+00:00,us-west-2b,c3.xlarge,Windows,0.2228,2018-08-16 21:26:23+00:00
